Espécie	Nome Popular	Guilda	Habitat	Descrição	Na Tabela
Bubo virginianus	jacurutu	Carnívoro	Generalista	Gambás, roedores, aves, cobras	✓
Bubulcus ibis	garça-vaqueira	Insetívoro	Campestre	Insetos e invertebrados, segue gado	✓
Buteo albonotatus	gavião-urubu	Carnívoro	Florestal	Roedores, cobras, lagartos	✓
Buteo brachyurus	gavião-de-cauda-curta	Carnívoro	Florestal	Lagartos, roedores, aves pequenas	✓
Buteo platypterus	gavião-de-asa-larga	Carnívoro/Insetívoro	Florestal	Insetos, roedores, lagartos	✓
Buteo swainsoni	gavião-papa-gafanhoto	Insetívoro/Carnívoro	Campestre	Gafanhotos, roedores em migração	✓
Butorides striata	socozinho	Piscívoro/Insetívoro	Aquático	Peixes, insetos, crustáceos	✓
Cacicus chrysopterus	tecelão	Onívoro	Florestal	Insetos, néctar, frutos	✓
Cacicus haemorrhous	guaxe	Onívoro	Florestal	Insetos, néctar, frutos	✓
Cairina moschata	pato-do-mato	Onívoro	Aquático	Plantas, invertebrados, pequenos peixes	✓
Calidris alba	maçarico-branco	Insetívoro	Costeiro	Invertebrados marinhos	✓
Calidris bairdii	maçarico-de-bico-fino	Insetívoro	Costeiro	Invertebrados aquáticos	✓
Calidris canutus	maçarico-de-papo-vermelho	Insetívoro	Costeiro	Moluscos, crustáceos, invertebrados marinhos	✓
Calidris fuscicollis	maçarico-de-sobre-branco	Insetívoro	Costeiro	Invertebrados aquáticos	✓
Calidris himantopus	maçarico-pernilongo	Insetívoro	Aquático	Invertebrados aquáticos	✓
Calidris melanotos	maçarico-de-colete	Insetívoro	Aquático	Invertebrados aquáticos e insetos	✓
Calidris minutilla	maçariquinho	Insetívoro	Costeiro	Insetos e invertebrados aquáticos	✓
Calidris pusilla	maçarico-rasteirinho	Insetívoro	Costeiro	Invertebrados marinhos	✓
Calidris subruficollis	maçarico-acanelado	Insetívoro	Campestre	Insetos e invertebrados	✓
Calliphlox amethystina	estrelinha-ametista	Nectarívoro	Florestal	Néctar floral e artrópodes minúsculos	✓
Callonetta leucophrys	marreca-de-coleira	Onívoro	Aquático	Sementes, invertebrados aquáticos	✓
Calonectris borealis	cagarra-grande	Piscívoro	Costeiro	Peixes e lulas	✓
Campephilus robustus	pica-pau-rei	Insetívoro	Florestal	Larvas de besouro em madeira morta	✓
Camptostoma obsoletum	risadinha	Insetívoro/Frugívoro	Generalista	Insetos e frutos pequenos	✓
Campylorhamphus falcularius	arapaçu-de-bico-torto	Insetívoro	Florestal	Insetos em bromélias e epífitas	✓
Campylorhynchus turdinus	catatau	Insetívoro/Frugívoro	Florestal	Insetos, aranhas, frutos	✓
Cantorchilus longirostris	garrinchão-de-bico-grande	Insetívoro	Florestal	Insetos em borda densa	✓
Capsiempis flaveola	marianinha-amarela	Insetívoro	Aquático	Insetos em brejeiros	✓
Caracara plancus	carcará	Onívoro/Detritívoro	Generalista	Carniça, invertebrados, aves, peixes	✓
Cariama cristata	seriema	Carnívoro/Insetívoro	Campestre	Insetos, cobras, lagartos, roedores	✓
Carpornis cucullata	corocoxó	Frugívoro	Florestal	Frutos de lauráceas e outras árvores	✓
Castanozoster thoracicus	peito-pinhão	Granívoro/Insetívoro	Florestal	Sementes de bambu e insetos	✓
Cathartes aura	urubu-de-cabeça-vermelha	Detritívoro	Generalista	Carniça localizada pelo olfato	✓
Cathartes burrovianus	urubu-de-cabeça-amarela	Detritívoro	Campestre	Carniça em áreas abertas	✓
Catharus fuscescens	sabiazinho-norte-americano	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Catharus swainsoni	sabiazinho-de-óculos	Insetívoro/Frugívoro	Florestal	Insetos, minhocas, frutos	✓
Celeus flavescens	pica-pau-de-cabeça-amarela	Insetívoro/Frugívoro	Florestal	Insetos, frutas e mel	✓
Celeus galeatus	pica-pau-de-cara-canela	Insetívoro	Florestal	Formigas, larvas, insetos em madeira	✓
Certhiaxis cinnamomeus	curutié	Insetívoro	Aquático	Insetos em juncos e banhados	✓
Chaetura cinereiventris	andorinhão-de-sobre-cinzento	Insetívoro aéreo	Florestal	Insetos capturados em voo	✓
Chaetura meridionalis	andorinhão-do-temporal	Insetívoro aéreo	Generalista	Insetos capturados em voo	✓
Chamaeza campanisona	tovaca-campainha	Insetívoro	Florestal	Insetos e minhocas no chão	✓
Chamaeza ruficauda	tovaca-de-rabo-vermelho	Insetívoro	Florestal	Insetos na serapilheira	✓
Charadrius collaris	batuíra-de-coleira	Insetívoro	Costeiro	Invertebrados aquáticos	✓
Charadrius falklandicus	batuíra-de-coleira-dupla	Insetívoro	Costeiro	Invertebrados marinhos	✓
Charadrius modestus	batuíra-de-peito-tijolo	Insetívoro	Costeiro	Invertebrados aquáticos e insetos	✓
Charadrius semipalmatus	batuíra-de-bando	Insetívoro	Costeiro	Invertebrados marinhos e insetos	✓
Chauna torquata	tachã	Herbívoro	Aquático	Plantas aquáticas e gramíneas	✓
Chionis albus	pomba-antártica	Onívoro	Costeiro	Invertebrados, aves, ovos, carniça	✓
Chionomesa fimbriata	beija-flor-de-garganta-verde	Nectarívoro	Florestal	Néctar floral e artrópodes	✓
Chionomesa lactea	beija-flor-de-peito-azul	Nectarívoro	Florestal	Néctar floral e artrópodes	✓
Chiroxiphia caudata	tangará	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Chloroceryle aenea	martim-pescador-miúdo	Piscívoro/Insetívoro	Aquático	Peixinhos e insetos aquáticos	✓
Chloroceryle amazona	martim-pescador-verde	Piscívoro	Aquático	Peixes	✓
Chloroceryle americana	martim-pescador-pequeno	Piscívoro	Aquático	Peixes e insetos aquáticos	✓
Chloroceryle inda	martim-pescador-da-mata	Piscívoro	Aquático	Peixes em riachos florestais	✓
Chlorophanes spiza	saí-verde	Nectarívoro/Frugívoro	Florestal	Néctar, frutos e insetos	✓
Chlorophonia cyanea	gaturamo-bandeira	Frugívoro	Florestal	Frutos de visco e erva-de-passarinho	✓
Chlorostilbon lucidus	besourinho-de-bico-vermelho	Nectarívoro	Generalista	Néctar floral e pequenos insetos	✓
Chondrohierax uncinatus	gavião-caracoleiro	Malacófago	Florestal	Caramujos extraídos com o bico gancho	✓
Chordeiles minor	bacurau-norte-americano	Insetívoro aéreo	Generalista	Insetos em voo crepuscular/noturno	✓
Chroicocephalus cirrocephalus	gaivota-de-cabeça-cinza	Onívoro	Aquático	Peixes, invertebrados, restos	✓
Chroicocephalus maculipennis	gaivota-maria-velha	Onívoro	Aquático	Peixes, invertebrados, restos orgânicos	✓
Chrysomus ruficapillus	garibaldi	Insetívoro/Granívoro	Aquático	Insetos e sementes em banhados	✓
Chrysuronia versicolor	beija-flor-de-banda-branca	Nectarívoro	Florestal	Néctar floral e artrópodes	✓
Cichlocolaptes leucophrus	trepador-sobrancelha	Insetívoro	Florestal	Insetos em bambu e lianas	✓
Ciconia maguari	maguari	Carnívoro/Piscívoro	Aquático	Peixes, anfíbios, roedores, cobras	✓
Cinclodes fuscus	pedreiro-dos-andes	Insetívoro	Campestre	Invertebrados aquáticos e terrestres	✓
Cinclodes pabsti	pedreiro	Insetívoro	Campestre	Invertebrados em campos úmidos	✓
Circus buffoni	gavião-do-banhado	Carnívoro	Aquático	Aves aquáticas, roedores, anfíbios	✓
Circus cinereus	gavião-cinza	Carnívoro	Campestre	Roedores, aves pequenas, lagartos	✓
Cissopis leverianus	tietinga	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Cistothorus platensis	corruíra-do-campo	Insetívoro	Campestre	Insetos em campos úmidos	✓
Claravis pretiosa	pararu-azul	Granívoro	Florestal	Sementes de bambu e gramíneas	✓
Clibanornis dendrocolaptoides	cisqueiro	Insetívoro	Florestal	Insetos em bromélias e epífitas	✓
Cnemotriccus fuscatus	guaracavuçu	Insetívoro	Florestal	Insetos no sub-bosque	✓
Coccyzus americanus	papa-lagarta-de-asa-vermelha	Insetívoro	Florestal	Lagartas, insetos	✓
Coccyzus erythropthalmus	papa-lagarta-de-bico-preto	Insetívoro	Florestal	Lagartas e insetos	✓
Coccyzus euleri	papa-lagarta-de-euler	Insetívoro	Florestal	Insetos e lagartas	✓
Coccyzus melacoryphus	papa-lagarta-acanelado	Insetívoro	Florestal	Insetos, lagartas, pequenos lagartos	✓
Cochlearius cochlearius	arapapá	Piscívoro/Carnívoro	Aquático	Peixes e invertebrados, caça noturna	✓
Coereba flaveola	cambacica	Nectarívoro/Frugívoro	Generalista	Néctar floral e frutos	✓
Colaptes campestris	pica-pau-do-campo	Insetívoro	Campestre	Formigas, cupins e larvas no solo	✓
Colaptes melanochloros	pica-pau-verde-barrado	Insetívoro	Florestal	Formigas, cupins, larvas	✓
Colibri serrirostris	beija-flor-de-orelha-violeta	Nectarívoro	Florestal	Néctar floral e pequenos insetos	✓
Colonia colonus	viuvinha	Insetívoro aéreo	Florestal	Insetos capturados em voo	✓
Columba livia	pombo-doméstico	Granívoro	Generalista	Grãos, sementes e restos humanos	✓
Columbina picui	rolinha-picuí	Granívoro	Campestre	Sementes e grãos	✓
Columbina squammata	rolinha-fogo-apagou	Granívoro	Campestre	Sementes e grãos	✓
Columbina talpacoti	rolinha-roxa	Granívoro	Generalista	Sementes e grãos pequenos	✓
Conirostrum bicolor	figuinha-do-mangue	Nectarívoro/Insetívoro	Costeiro	Néctar e insetos em mangue	✓
Conirostrum speciosum	figuinha-de-rabo-castanho	Nectarívoro/Insetívoro	Florestal	Néctar e insetos no dossel	✓
Conopias trivirgatus	bem-te-vi-pequeno	Insetívoro	Florestal	Insetos no dossel	✓
Conopophaga lineata	chupa-dente	Insetívoro	Florestal	Insetos e aranhas na serapilheira	✓
Conopophaga melanops	cuspidor-de-máscara-preta	Insetívoro	Florestal	Insetos e aranhas no chão florestal	✓
Contopus cinereus	papa-moscas-cinzento	Insetívoro aéreo	Florestal	Insetos capturados em voo	✓
Coragyps atratus	urubu-preto	Detritívoro	Generalista	Carniça e restos orgânicos	✓
Corythopis delalandi	estalador	Insetívoro	Florestal	Insetos no chão florestal	✓
Coscoroba coscoroba	capororoca	Herbívoro	Aquático	Plantas aquáticas, algas	✓
Cranioleuca obsoleta	arredio-oliváceo	Insetívoro	Florestal	Insetos em bambu e cipós	✓
Cranioleuca pallida	arredio-pálido	Insetívoro	Florestal	Insetos no sub-bosque	✓
Crotophaga ani	anu-preto	Insetívoro	Generalista	Insetos, especialmente parasitas de bovinos	✓
Crotophaga major	anu-coroca	Insetívoro	Aquático	Insetos, especialmente em ambientes úmidos	✓
Cryptopezus nattereri	pinto-do-mato	Insetívoro	Florestal	Insetos e invertebrados no solo	✓
Crypturellus noctivagus	jaó-do-sul	Onívoro	Florestal	Frutos, sementes, invertebrados	✓
Crypturellus obsoletus	inhambuguaçu	Onívoro	Florestal	Frutos, sementes, invertebrados	✓
Crypturellus parvirostris	inhambu-chororó	Granívoro/Insetívoro	Campestre	Sementes e invertebrados	✓
Crypturellus tataupa	inhambu-chintã	Granívoro/Insetívoro	Florestal	Sementes e invertebrados	✓
Culicivora caudacuta	papa-moscas-do-campo	Insetívoro	Campestre	Insetos em campos	✓
Cyanerpes cyaneus	saíra-beija-flor	Nectarívoro/Frugívoro	Florestal	Néctar, frutos e insetos	✓
Cyanocorax caeruleus	gralha-azul	Onívoro	Florestal	Frutos de araucária, insetos, ovos, vertebrados	✓
Cyanocorax chrysops	gralha-picaça	Onívoro	Florestal	Frutos, insetos, ovos	✓
Cyanocorax cristatellus	gralha-do-campo	Onívoro	Campestre	Insetos, frutos, invertebrados	✓
Cyanoloxia brissonii	azulão	Granívoro	Florestal	Sementes e frutos	✓
Cyanoloxia glaucocaerulea	azulinho	Granívoro	Florestal	Sementes	✓
Cyanophonia cyanocephala	gaturamo-rei	Frugívoro	Florestal	Frutos de visco e erva-de-passarinho	✓
Cyclarhis gujanensis	pitiguari	Insetívoro/Frugívoro	Florestal	Insetos, lagartos, frutos	✓
Cypseloides fumigatus	taperuçu-preto	Insetívoro aéreo	Florestal	Insetos minúsculos capturados em voo	✓
Cypseloides senex	taperuçu-velho	Insetívoro aéreo	Florestal	Insetos capturados em voo	✓
Dacnis cayana	saí-azul	Nectarívoro/Frugívoro	Florestal	Néctar, frutos e insetos	✓
Dacnis nigripes	saí-de-pernas-pretas	Nectarívoro/Frugívoro	Florestal	Néctar, frutos e insetos	✓
Daption capense	pomba-do-cabo	Piscívoro	Costeiro	Peixes e invertebrados marinhos	✓
Dendrocincla turdina	arapaçu-liso	Insetívoro	Florestal	Insetos, segue correições	✓
Dendrocolaptes platyrostris	arapaçu-grande	Insetívoro	Florestal	Insetos em troncos, segue formigas	✓
Dendrocygna autumnalis	marreca-cabocla	Herbívoro	Aquático	Sementes e gramíneas aquáticas	✓
Dendrocygna bicolor	marreca-caneleira	Herbívoro/Filtrador	Aquático	Sementes, grãos e plantas aquáticas	✓
Dendrocygna viduata	irerê	Filtrador/Herbívoro	Aquático	Plantas aquáticas, invertebrados	✓
Dendroma rufa	limpa-folha-de-testa-baia	Insetívoro	Florestal	Insetos em folhas mortas pendentes	✓
Diomedea dabbenena	albatroz-de-tristão	Piscívoro	Costeiro	Lulas, peixes	✓
Diomedea exulans	albatroz-errante	Piscívoro	Costeiro	Lulas, peixes, carniça	✓
Donacospiza albifrons	tico-tico-do-banhado	Granívoro/Insetívoro	Aquático	Sementes e insetos em banhados	✓
Dromococcyx pavoninus	peixe-frito-pavonino	Insetívoro	Florestal	Insetos e aranhas	✓
Dromococcyx phasianellus	peixe-frito	Insetívoro	Florestal	Insetos, aranhas, pequenos lagartos	✓
Drymophila ferruginea	dituí	Insetívoro	Florestal	Insetos em bambu e samambaias	✓
Drymophila malura	choquinha-carijó	Insetívoro	Florestal	Insetos em bambu e taquara	✓
Drymophila ochropyga	choquinha-de-dorso-vermelho	Insetívoro	Florestal	Insetos em bambu	✓
Drymophila rubricollis	choquinha-dublê	Insetívoro	Florestal	Insetos em bambu	✓
Drymophila squamata	pintadinho	Insetívoro	Florestal	Insetos em folhagem densa	✓
Dryocopus lineatus	pica-pau-de-banda-branca	Insetívoro	Florestal	Larvas de besouros em troncos	✓
Dysithamnus mentalis	choquinha-lisa	Insetívoro	Florestal	Insetos no sub-bosque	✓
Dysithamnus stictothorax	choquinha-de-peito-pintado	Insetívoro	Florestal	Insetos e aranhas no sub-bosque	✓
Dysithamnus xanthopterus	choquinha-de-asa-ferrugem	Insetívoro	Florestal	Insetos e aranhas	✓
Egretta caerulea	garça-azul	Piscívoro/Insetívoro	Aquático	Peixes, crustáceos, insetos	✓
Egretta thula	garça-branca-pequena	Piscívoro/Insetívoro	Aquático	Peixes, insetos, crustáceos	✓
Elaenia chilensis	guaracava-de-crista-branca	Insetívoro/Frugívoro	Generalista	Frutos e insetos	✓
Elaenia flavogaster	guaracava-de-barriga-amarela	Insetívoro/Frugívoro	Generalista	Frutos e insetos	✓
Elaenia mesoleuca	tuque	Insetívoro/Frugívoro	Florestal	Frutos e insetos	✓
Elaenia obscura	tucão	Insetívoro/Frugívoro	Florestal	Frutos e insetos	✓
Elaenia parvirostris	tuque-pium	Insetívoro/Frugívoro	Generalista	Frutos e insetos	✓
Elaenia spectabilis	guaracava-grande	Insetívoro/Frugívoro	Generalista	Frutos e insetos	✓
Elanoides forficatus	gavião-tesoura	Insetívoro/Carnívoro	Florestal	Insetos grandes, lagartos, serpentes	✓
Elanus leucurus	gavião-peneira	Carnívoro	Campestre	Roedores, insetos grandes, lagartos	✓
Eleoscytalopus indigoticus	macuquinho	Insetívoro	Florestal	Insetos em brejeiros e várzeas	✓
Emberizoides herbicola	canário-do-campo	Granívoro/Insetívoro	Campestre	Sementes e insetos	✓
Emberizoides ypiranganus	canário-do-brejo	Granívoro/Insetívoro	Aquático	Sementes e insetos	✓
Embernagra platensis	sabiá-do-banhado	Granívoro/Insetívoro	Aquático	Sementes e insetos em banhados	✓
Empidonomus varius	peitica	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Estrilda astrild	bico-de-lacre	Granívoro	Generalista	Sementes de gramíneas	✓
Eudocimus ruber	guará	Insetívoro/Piscívoro	Aquático	Caranguejos, insetos, anfíbios	✓
Eupetomena macroura	beija-flor-tesoura	Nectarívoro	Generalista	Néctar floral e artrópodes	✓
Euphonia chalybea	cais-cais	Frugívoro	Florestal	Frutos de visco	✓
Euphonia chlorotica	fim-fim	Frugívoro	Florestal	Frutos de visco e erva-de-passarinho	✓
Euphonia pectoralis	ferro-velho	Frugívoro	Florestal	Frutos de visco	✓
Euphonia violacea	gaturamo-verdadeiro	Frugívoro	Florestal	Frutos de visco e outras plantas	✓
Euscarthmus meloryphus	barulhento	Insetívoro	Campestre	Insetos em arbustos	✓
Falco femoralis	falcão-de-coleira	Carnívoro	Campestre	Aves em voo, insetos, morcegos	✓
Falco peregrinus	falcão-peregrino	Carnívoro	Generalista	Aves em voo rápido	✓
Falco rufigularis	cauré	Carnívoro	Florestal	Andorinhões e morcegos em voo	✓
Falco sparverius	quiriquiri	Insetívoro/Carnívoro	Campestre	Insetos, lagartos, roedores	✓
Florisuga fusca	beija-flor-preto	Nectarívoro	Florestal	Néctar floral, pequenos insetos e aranhas	✓
Fluvicola albiventer	lavadeira-de-cara-branca	Insetívoro	Aquático	Insetos em beiras d'água	✓
Fluvicola nengeta	lavadeira-mascarada	Insetívoro	Aquático	Insetos em beiras d'água	✓
Formicarius colma	galinha-do-mato	Insetívoro	Florestal	Insetos, segue correições de formigas	✓
Formicivora acutirostris	bicudinho-do-brejo	Insetívoro	Aquático	Insetos em vegetação de brejo	✓
Forpus xanthopterygius	tuim	Granívoro	Generalista	Sementes e grãos pequenos	✓
Fregata magnificens	fragata	Cleptoparasita/Piscívoro	Costeiro	Rouba peixes de outras aves, peixes	✓
Fulica armillata	carqueja-de-bico-manchado	Herbívoro/Onívoro	Aquático	Plantas aquáticas e invertebrados	✓
Fulica leucoptera	carqueja-de-bico-amarelo	Herbívoro/Onívoro	Aquático	Plantas aquáticas e invertebrados	✓
Fulica rufifrons	carqueja-de-escudo-vermelho	Herbívoro/Onívoro	Aquático	Plantas aquáticas, algas, invertebrados	✓
Fulmarus glacialoides	pardelão-prateado	Piscívoro	Costeiro	Peixes, lulas, crustáceos	✓
Furnarius figulus	casaca-de-couro-da-lama	Insetívoro	Aquático	Invertebrados em barro úmido	✓
Furnarius rufus	joão-de-barro	Insetívoro	Generalista	Insetos e invertebrados no solo	✓
Gallinago paraguaiae	narceja	Insetívoro	Aquático	Minhocas, invertebrados do solo	✓
Gallinago undulata	narcejão	Insetívoro	Aquático	Minhocas, invertebrados do solo	✓
Gallinula galeata	galinha-d'água	Onívoro	Aquático	Plantas, sementes, invertebrados aquáticos	✓
Geositta cunicularia	curriqueiro	Insetívoro	Campestre	Insetos e invertebrados no solo	✓
Geothlypis aequinoctialis	pia-cobra	Insetívoro	Aquático	Insetos em juncos e banhados	✓
Geotrygon montana	pariri	Granívoro/Frugívoro	Florestal	Sementes e frutos do solo	✓
Geranoaetus albicaudatus	gavião-de-rabo-branco	Carnívoro	Campestre	Cobras, lagartos, roedores	✓
Geranoaetus melanoleucus	águia-serrana	Carnívoro	Campestre	Tatus, roedores, coelhos	✓
Geranospiza caerulescens	gavião-pernilongo	Carnívoro	Florestal	Lagartos, rãs, ovos em ninhos	✓
Glaucidium brasilianum	caburé	Insetívoro/Carnívoro	Florestal	Insetos grandes, lagartos, aves pequenas	✓
Glaucidium minutissimum	caburé-miudinho	Insetívoro/Carnívoro	Florestal	Insetos e pequenos vertebrados	✓
Gnorimopsar chopi	pássaro-preto	Onívoro	Generalista	Insetos, frutos, sementes	✓
Grallaria varia	tovacuçu	Insetívoro	Florestal	Minhocas, insetos e aranhas na serapilheira	✓
Griseotyrannus aurantioatrocristatus	peitica-de-chapéu-preto	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Gubernetes yetapa	tesoura-do-brejo	Insetívoro aéreo	Aquático	Insetos capturados em voo sobre banhados	✓
Guira guira	anu-branco	Insetívoro/Carnívoro	Generalista	Insetos, lagartos, anfíbios, pequenos vertebrados	✓
Habia rubica	tiê-de-bando	Insetívoro	Florestal	Insetos, segue correições de formigas	✓
Haematopus palliatus	piru-piru	Carnívoro/Insetívoro	Costeiro	Moluscos, crustáceos, equinodermas	✓
Haplospiza unicolor	cigarra-bambu	Granívoro	Florestal	Sementes de bambu	✓
Harpagus diodon	gavião-bombachinha	Insetívoro/Carnívoro	Florestal	Insetos grandes, lagartos, morcegos	✓
Heliobletus contaminatus	trepadorzinho	Insetívoro	Florestal	Insetos em galhos finos	✓
Heliodoxa rubricauda	beija-flor-rubi	Nectarívoro	Florestal	Néctar floral e pequenos insetos	✓
Heliomaster furcifer	bico-reto-azul	Nectarívoro	Florestal	Néctar floral e insetos	✓
Heliornis fulica	picaparra	Piscívoro/Insetívoro	Aquático	Peixes, insetos, anfíbios	✓
Hemithraupis guira	saíra-de-papo-preto	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Hemithraupis ruficapilla	saíra-ferrugem	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Hemitriccus diops	olho-falso	Insetívoro	Florestal	Insetos no sub-bosque	✓
Hemitriccus kaempferi	maria-catarinense	Insetívoro	Florestal	Insetos na restinga e floresta	✓
Hemitriccus nidipendulus	tachuri-campainha	Insetívoro	Florestal	Insetos no sub-bosque	✓
Hemitriccus obsoletus	catraca	Insetívoro	Florestal	Insetos em bambu	✓
